target,targetdB,targetdBopt,h22,h22opt,h2,h2opt,kopt,maxSqnr,msia,lria,
0.2,-13.97940009,-12.72203397,2.644935675,2.610335754,1.626325821,1.615653352,0.917675781,84.92,-11.6,-95,
0.24,-12.39577517,-9.243126384,2.599717429,2.450042077,1.612363926,1.565261025,0.878613281,85.97,-7.7,-96,
0.28,-11.05683937,-10.25082477,2.547659035,2.508636963,1.596138789,1.583867723,0.916503906,87.21,-9.3,-95,
0.32,-9.897000434,-9.150202129,2.489365033,2.443930942,1.577772174,1.563307693,0.916308594,88.19,-7.6,-99,
0.36,-8.873949985,-6.977318125,2.425474381,2.268678731,1.557393457,1.506213375,0.869921875,85.75,-6.1,-92,
0.4,-7.958800173,-7.662780085,2.356641935,2.33179837,1.535135804,1.527022714,0.923535156,89.39,-5.9,-98,
0.44,-7.13094647,-6.5757474,2.283520769,2.228195775,1.51113228,1.492714231,0.906835938,90.47,-5.6,-99,
0.48,-6.375175252,-6.047785819,2.206745774,2.170245447,1.485511957,1.473175294,0.916699219,91.08,-4.2,-101,nice
0.52,-5.679933127,-5.354638445,2.126918804,2.08626867,1.458395969,1.444392145,0.883203125,85.15,-4.1,-92,
0.56,-5.03623946,-4.811069789,2.044595301,2.013794817,1.429893458,1.419082386,0.882421875,83.39,-3.5,-84,
0.6,-4.436974992,-4.25372453,1.96027207,1.932892474,1.400097164,1.390285033,0.881738281,83.21,-3.5,-85,
0.64,-3.87640052,-3.72218032,1.874375427,1.849607162,1.369078313,1.360002633,0.883691406,81.51,-2.5,-84,
0.68,-3.349821746,-3.224985321,1.787248379,1.76555453,1.336880091,1.328741709,0.882519531,79.9,-2.1,-84,nice
0.72,-2.853350071,-2.733775193,1.699134432,1.676943943,1.303508509,1.294968703,0.871484375,78.79,-1.7,-77,
0.76,-2.383728154,-2.289816129,1.610153608,1.591597274,1.268918283,1.261585223,0.873144531,76.37,-1.4,-75,
0.8,-1.93820026,-1.861141975,1.520261655,1.504065818,1.232988911,1.226403611,0.86875,74.13,-1.1,-71,
0.84,-1.514414279,-1.421606416,1.429171915,1.408435236,1.195479784,1.186775141,0.840429688,72.15,0,-58,
0.88,-1.110346557,-1.028990099,1.336185152,1.316505855,1.155934752,1.14739089,0.810351563,71.31,0,-59,
0.92,-0.724243453,-0.644215672,1.239746238,1.218437658,1.113438924,1.103828636,0.737597656,68.38,0,-44,
0.96,-0.354575339,-0.001696629,1.135857603,1,1.065766205,1,-8.88E-16,62.45,0,-37,
