t, r
0.00097576,-5.4237
0.009846,-1.6554
0.020018,2.5111
0.029952,3.642
0.039994,2.8457
0.049972,8.1461
0.059992,9.7973
0.069984,11.561
0.079995,7.973
0.089994,6.6928
0.1,-1.005
0.11,5.4251
0.12,10.155
0.13,-3.0418
0.14,1.5597
0.15,1.7423
0.16,4.1964
0.17,-1.3302
0.18,-0.92583
0.19,0.94927
0.2,0.58172
0.21,12.823
0.22,16.088
0.23,17.262
0.24,6.7478
0.25,5.8196
0.26,3.9608
0.27,9.9795
0.28,11.948
0.29,16.514
0.3,11.757
0.31,15.662
0.32,14.154
0.33,18.029
0.34,13.622
0.35,4.3112
0.36,2.6543
0.37,-0.60084
0.38,0.36666
0.39,-3.1615
0.4,-0.16872
0.41,-1.4888
0.42,5.0286
0.43,0.95994
0.44,-5.0572
0.45,3.9522
0.46,5.3395
0.47,18.606
0.48,17.99
0.49,30.444
0.5,70.023
0.51,141.28
0.52,205.66
0.53,248.04
0.54,257.95
0.55,267.01
0.56,263.94
0.57,238.13
0.58,209.83
0.59,193.92
0.6,161.47
0.61,140.86
0.62,120.81
0.63,99.604
0.64,92.209
0.65,83.372
0.66,74.786
0.67,70.621
0.68,59.331
0.69,51.678
0.7,43.452
0.71,46.352
0.72,39.978
0.73,33.627
0.74,28.653
0.75,32.751
0.76,27.997
0.77,32.914
0.78,27.508
0.79,27.589
0.8,22.374
0.81,17.052
0.82,15.907
0.83,10.971
0.84,15.526
0.85,9.5208
0.86,8.2064
0.87,7.8402
0.88,8.0978
0.89,11.34
0.9,8.774
0.91,1.7165
0.92,16.722
0.93,12.654
0.94,-18.434
0.95,-27.425
0.96,-49.268
0.97,-42.75
0.98,-38.908
0.99,-42.892
1,-50.044
1.01,-31.072
1.02,-41.602
1.03,-36.204
1.04,-42.565
1.05,-38.297
1.06,-36.098
1.07,-36.728
1.08,-33.571
1.09,-38.331
1.1,-43.933
1.11,-37.688
1.12,-37.871
1.13,-33.135
1.14,-30.418
1.15,-27.138
1.16,-32.058
1.17,-34.93
1.18,-37.242
1.19,-38.496
1.2,-44.803
1.21,-33.255
1.22,-34.873
1.23,-30.131
1.24,-25.499
1.25,-10.703
1.26,-0.34192
1.27,12.625
1.28,14.253
1.29,14.457
1.3,6.8239
1.31,7.0872
1.32,7.016
1.33,12.01
1.34,8.8429
