t, y
0,0
0.01,0
0.02,-0.074047
0.03,-5.0851
0.04,-0.96962
0.05,6.0447
0.06,3.2606
0.07,2.151
0.08,3.7289
0.09,12.184
0.1,8.1896
0.11,8.7434
0.12,2.5117
0.13,3.0649
0.14,2.9171
0.15,13.368
0.16,-6.147
0.17,-0.12366
0.18,3.6845
0.19,5.7275
0.2,0.074047
0.21,-0.41847
0.22,-4.2234
0.23,0.66525
0.24,8.4217
0.25,19.704
0.26,14.498
0.27,7.5528
0.28,7.2114
0.29,6.1606
0.3,6.5666
0.31,15.206
0.32,15.869
0.33,15.095
0.34,11.987
0.35,17.249
0.36,13.347
0.37,18.884
0.38,1.0917
0.39,2.2269
0.4,-8.3631
0.41,-1.3264
0.42,-3.4929
0.43,0.31661
0.44,-4.4571
0.45,6.9693
0.46,0.23799
0.47,-6.0638
0.48,2.3873
0.49,5.483
0.5,18.23
0.51,20.26
0.52,30
0.53,69.412
0.54,141.19
0.55,210.36
0.56,248.08
0.57,262.8
0.58,263.97
0.59,266.9
0.6,234.19
0.61,208.57
0.62,188.12
0.63,158.25
0.64,135.56
0.65,124.13
0.66,96.985
0.67,94.199
0.68,81.645
0.69,76.437
0.7,68.978
0.71,61.419
0.72,50.383
0.73,47.747
0.74,41.862
0.75,39.799
0.76,30.938
0.77,32.159
0.78,29.116
0.79,29.369
0.8,30.577
0.81,31.767
0.82,25.617
0.83,30.201
0.84,14.324
0.85,18.301
0.86,8.8237
0.87,20.025
0.88,8.2242
0.89,9.5138
0.9,5.8686
0.91,11.393
0.92,9.9345
0.93,9.418
0.94,0.034133
0.95,13.487
0.96,12.682
0.97,-21.267
0.98,-29.23
0.99,-46.948
1,-43.83
1.01,-36.688
1.02,-43.903
1.03,-51.033
1.04,-31.897
1.05,-38.299
1.06,-39.743
1.07,-41.187
1.08,-38.878
1.09,-38.522
1.1,-35.036
1.11,-29.882
1.12,-38.987
1.13,-43.775
1.14,-40.294
1.15,-37.353
1.16,-30.922
1.17,-30.824
1.18,-23.84
1.19,-28.697
1.2,-36.018
1.21,-35.127
1.22,-39.731
1.23,-44.051
1.24,-38.105
1.25,-38.701
1.26,-29.442
1.27,-22.716
1.28,-13.291
1.29,-0.76022
1.3,8.1668
1.31,17.123
1.32,14.377
1.33,9.9739
1.34,4.4312
1.35,9.6223
1.36,9.4722
1.37,13.459
1.38,12.344
1.39,25.212
1.4,19.532
1.41,12.691
1.42,13.159
1.43,14.958
1.44,7.6748
1.45,12.18
1.46,-1.039
1.47,-1.4721
1.48,11.093
1.49,8.3993
1.5,9.8169
1.51,5.3857
1.52,6.2952
1.53,32.899
1.54,-15.143
1.55,-30.572
1.56,-53.613
1.57,-50.028
1.58,-54.816
1.59,-47.678
1.6,-52.578
1.61,-35.509
1.62,-41.943
1.63,-43.382
1.64,-36.091
1.65,-36.901
1.66,-42.357
1.67,-38.918
1.68,-42.533
1.69,-40.502
1.7,-46.741
1.71,-41.185
1.72,-43.498
1.73,-40.594
1.74,-43.326
1.75,-47.254
1.76,-41.045
1.77,-42.201
1.78,-46.283
1.79,-42.244
1.8,-49.241
1.81,-42.671
1.82,-46.682
1.83,-43.12
1.84,-42.205
1.85,-46.357
1.86,-46.923
1.87,-38.561
1.88,-44.488
1.89,-48.902
1.9,-54.471
1.91,-52.259
1.92,-40.663
1.93,-39.947
1.94,-36.757
1.95,-35.651
1.96,-39.103
1.97,-41.336
1.98,-29.844
1.99,-28.632
2,-26.509
2.01,-15.188
2.02,-15.262
2.03,4.5097
2.04,9.8588
2.05,-0.75366
2.06,6.0482
2.07,5.9607
2.08,5.5777
2.09,0.85132
2.1,1.0407
2.11,-6.6132
2.12,-2.5178
2.13,-1.326
2.14,-7.3844
2.15,-1.7959
2.16,-5.0643
2.17,-1.06
2.18,-0.77097
2.19,-6.3294
2.2,-1.2006
2.21,0.080061
2.22,0.080061
2.23,-0.32581
2.24,-11.809
2.25,7.342
2.26,2.6972
2.27,15.443
2.28,15.625
2.29,16.437
2.3,17.821
2.31,15.596
2.32,13.097
2.33,18.467
2.34,14.675
2.35,20.978
2.36,12.742
2.37,9.7671
2.38,4.9936
2.39,13.302
2.4,10.694
2.41,11.861
2.42,8.4121
2.43,15.976
2.44,15.778
2.45,14.936
2.46,9.6754
2.47,8.7074
2.48,0.019316
2.49,8.6426
2.5,15.729
2.51,18.323
2.52,35.991
2.53,46.975
2.54,83.349
2.55,148.19
2.56,202.94
2.57,242.27
2.58,264.97
2.59,263.47
2.6,253.21
2.61,226.63
2.62,197.85
2.63,151.53
2.64,112.1
2.65,88.654
2.66,57.618
2.67,46.875
2.68,37.117
2.69,20.317
2.7,12.019
2.71,8.4676
2.72,7.0503
2.73,9.7905
2.74,11.049
2.75,6.0249
2.76,-6.7674
2.77,-17.441
2.78,-23.508
2.79,-23.258
2.8,-25.876
2.81,-29.78
2.82,-23.304
2.83,-23.389
2.84,-31.555
2.85,-27.392
2.86,-24.935
2.87,-21.33
2.88,-31.647
2.89,-32.551
2.9,-31.967
2.91,-32.494
2.92,-31.27
2.93,-31.319
2.94,-28.736
2.95,-19.893
2.96,-23.891
2.97,-26.988
2.98,-22.785
2.99,-15.975
3,-19.898
3.01,-21.352
3.02,-22.778
3.03,-21.348
3.04,-23.509
3.05,-15.946
3.06,-22.472
3.07,-10.147
3.08,-10.278
3.09,-7.3808
3.1,-8.8156
3.11,-6.8985
3.12,-5.3992
3.13,-7.8821
3.14,-6.3263
3.15,0.72925
3.16,-10.229
3.17,-13.772
3.18,-16.57
3.19,-8.1806
3.2,-8.7133
3.21,-3.3707
3.22,-1.1848
3.23,5.6091
3.24,6.2995
3.25,11.125
3.26,25.565
3.27,46.904
3.28,54.024
3.29,62.071
3.3,52.01
3.31,46.945
3.32,49.802
3.33,62.392
3.34,54.866
3.35,57.026
3.36,53.892
3.37,52.503
3.38,48.038
3.39,58.036
3.4,53.933
3.41,56.721
3.42,61.933
3.43,56.819
3.44,53.984
3.45,48.781
3.46,37.219
3.47,43.704
3.48,49.381
3.49,53.074
3.5,52.781
3.51,53.346
3.52,55.25
3.53,52.276
3.54,41.989
3.55,39.187
3.56,48.957
3.57,49.453
3.58,50.846
3.59,48.975
3.6,46.517
3.61,47.313
3.62,56.286
3.63,58.329
3.64,51.843
3.65,53.509
3.66,50.323
3.67,47.041
3.68,38.302
3.69,39.297
3.7,41.877
3.71,43.611
3.72,46.379
3.73,46.552
3.74,63.73
3.75,40.549
3.76,24.334
3.77,9.0584
3.78,-15.574
3.79,-22.068
3.8,-9.1116
3.81,-10.929
3.82,-9.7889
3.83,-15.412
3.84,-15.913
3.85,-10.76
3.86,3.0321
3.87,8.3123
3.88,-5.6167
3.89,-9.9709
3.9,-6.8096
3.91,-1.8526
3.92,-3.7083
3.93,-0.34091
3.94,-2.6289
3.95,-12.072
3.96,-13.692
3.97,-10.234
3.98,-12.392
3.99,-12.095
